,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
188,"Alvarez, Jose",LAA,36,35.3,0,0,0.0,3.00,8.41,2.80,0.76,.369,72.0,90.8,4.33,3.40
189,"Wood, Blake",CIN,33,35.3,0,0,0.0,1.59,8.92,5.60,0.25,.324,75.5,95.6,3.57,3.52
190,"Severino, Luis",NYY,7,35.0,7,2,28.6,2.70,6.94,2.57,2.06,.364,58.8,95.4,7.46,5.51
191,"Gomez, Jeanmar",PHI,33,35.0,0,0,0.0,2.67,6.17,2.31,0.77,.280,76.3,91.3,3.09,3.74
192,"Soria, Joakim",KC,34,35.0,0,0,0.0,2.29,8.23,3.60,0.77,.288,78.0,92.4,3.09,3.73
193,"Reed, Addison",NYM,37,35.0,0,0,0.0,5.00,10.29,2.06,0.77,.290,78.1,92.2,2.57,2.74
194,"Baez, Pedro",LAD,34,35.0,0,0,0.0,3.64,10.29,2.83,1.80,.214,77.8,96.6,3.34,4.49
195,"Richards, Garrett",LAA,6,34.7,6,4,66.7,2.27,8.83,3.89,0.52,.313,84.1,95.6,2.34,3.33
196,"Hahn, Jesse",OAK,7,34.7,7,3,42.9,1.07,4.15,3.89,1.56,.329,65.5,94.0,6.49,5.87
197,"Cishek, Steve",SEA,31,34.3,0,0,0.0,3.15,10.75,3.41,1.31,.223,82.8,91.4,2.62,3.88
198,"Lyons, Tyler",STL,20,34.3,0,0,0.0,3.20,8.39,2.62,1.83,.227,75.9,90.5,3.67,4.89
199,"Boyer, Blaine",MIL,29,34.3,0,0,0.0,1.20,3.15,2.62,0.26,.298,71.7,91.8,3.67,3.78
200,"Jones, Nate",CWS,35,34.3,0,0,0.0,4.43,8.13,1.83,0.79,.233,70.4,96.8,2.88,3.16
201,"Ohlendorf, Ross",CIN,33,34.0,0,0,0.0,2.36,8.74,3.71,1.32,.284,71.8,94.1,4.24,4.45
202,"Vargas, Cesar",SD,7,34.0,7,2,28.6,1.87,7.41,3.97,1.32,.347,72.5,89.4,5.03,4.83
203,"Jeffress, Jeremy",MIL,35,33.7,0,0,0.0,3.25,6.95,2.14,0.53,.330,81.0,95.7,2.67,3.16
204,"Salas, Fernando",LAA,33,33.7,0,0,0.0,3.13,6.68,2.14,1.60,.255,65.6,91.3,4.54,4.77
205,"Buchter, Ryan",SD,36,33.7,0,0,0.0,3.27,13.10,4.01,0.53,.270,87.5,92.5,1.60,2.44
206,"Givens, Mychal",BAL,28,33.3,0,0,0.0,2.37,12.15,5.13,0.81,.380,77.6,93.9,3.78,3.44
